id,host_id,name,neighbourhood_cleansed,cluster_kmeans
1115811,4971805,Very close to citycenter and beach,Amager st,4
1117505,6133627,"Cozy, roomy and a perfect location",Nrrebro,4
1120755,2646044,Central location on Vesterbro,Vesterbro-Kongens Enghave,4
1121190,5917197,Charming Oasis in the Heart of CPH,Indre By,4
1122354,6157840,"Spacious, bright, and child friendly near centre",Nrrebro,4
1122594,5162377,An architects home in the city,Nrrebro,0
1125756,6149970,"Room, Beach 5 min, CPH C 10 min",Amager st,0
1128960,5652210,Private room in a shared apartment,Nrrebro,0
1130300,5074891,Big beautiful apartment in Nørrebro,Nrrebro,4
1133791,3777315,Top Location - Central & Elegant 5 Room Apartment,Indre By,1
1143581,6270331,Family Friendly Flat 2bdr in the heart of Østerbro,sterbro,4
1146701,6536409,cosy with shared sunny backyard,Valby,0
1151512,6311473,Charming & bright 3-room apartment,sterbro,4
1157943,6345315,Perfectly located Penthouse flat,Frederiksberg,4
1161191,6361904,Spacious flat in Nørrebro,Nrrebro,1
1162390,3616510,københavn hyggelige frederiksberg,Frederiksberg,0
1163816,6374819,"Beautiful apartment, big balcony",Nrrebro,4
1167176,204945,"Central apartment - Vesterbro, CPH",Vesterbro-Kongens Enghave,3
1174793,6429743,Appartement 100 m2 next to Lakes and centre,Nrrebro,4
1178532,6448243,Lækker lejlighed på Indre Nørrebro,Nrrebro,0
1182803,6470206,Apartment with charm.,Nrrebro,0
1194322,6526568,"Charming, child-friendly villa 10 min from city!",Vanlse,2
1200935,6558132,Terraced house in green surroundings close to City,Vesterbro-Kongens Enghave,2
1205467,6034008,Great place in inner-Copenhagen,Frederiksberg,2
1206018,4711800,Cosy flat with sunny balcony,Nrrebro,0
1207818,3442943,Studio Apartment in central Copenhagen,Indre By,0
1208976,6602323,Spacious & cool flat in Copenhagen,sterbro,4
1211696,6615827,150 sqm2 family apartment w balcony,sterbro,2
1212293,6617854,Beautiful spacious apartment in central Copenhagen,Indre By,1
1213057,6621737,Cosy house in Copenhagen,Bispebjerg,4
1218328,6251797,Rooftop terrace in hipster area,Nrrebro,0
1227230,1927990,Small privat flat in central Copenhagen,Indre By,4
